Room Type,Date,Rate,Reason,Demand Tier,Rate Multiplier,Source Status,Review / Reprice Date,Source Version
double,2027-01-01,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-09-03,1.0.0
twin,2027-01-01,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-09-03,1.0.0
double,2027-01-02,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-09-03,1.0.0
twin,2027-01-02,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-09-03,1.0.0
double,2027-01-03,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-09-03,1.0.0
twin,2027-01-03,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-09-03,1.0.0
double,2027-01-09,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-12-10,1.0.0
twin,2027-01-09,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-12-10,1.0.0
double,2027-01-16,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-12-17,1.0.0
twin,2027-01-16,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-12-17,1.0.0
double,2027-01-23,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-01-23,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-01-29,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-10-31,1.0.0
twin,2027-01-29,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-10-31,1.0.0
double,2027-01-30,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-10-31,1.0.0
twin,2027-01-30,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-10-31,1.0.0
double,2027-01-31,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-10-31,1.0.0
twin,2027-01-31,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-10-31,1.0.0
double,2027-02-01,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-10-31,1.0.0
twin,2027-02-01,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-10-31,1.0.0
double,2027-02-02,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-11-19,1.0.0
twin,2027-02-02,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-11-19,1.0.0
double,2027-02-03,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-11-19,1.0.0
twin,2027-02-03,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-11-19,1.0.0
double,2027-02-04,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-11-19,1.0.0
twin,2027-02-04,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-11-19,1.0.0
double,2027-02-05,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-11-19,1.0.0
twin,2027-02-05,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-11-19,1.0.0
double,2027-02-06,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-11-19,1.0.0
twin,2027-02-06,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-11-19,1.0.0
double,2027-02-12,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-11-14,1.0.0
twin,2027-02-12,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-11-14,1.0.0
double,2027-02-13,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-11-14,1.0.0
twin,2027-02-13,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-11-14,1.0.0
double,2027-02-20,1360,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2026-10-23,1.0.0
twin,2027-02-20,1200,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2026-10-23,1.0.0
double,2027-02-21,1360,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2026-10-23,1.0.0
twin,2027-02-21,1200,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2026-10-23,1.0.0
double,2027-02-22,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-10-23,1.0.0
twin,2027-02-22,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-10-23,1.0.0
double,2027-02-26,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-12,1.0.0
twin,2027-02-26,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-12,1.0.0
double,2027-02-27,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-12,1.0.0
twin,2027-02-27,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-12,1.0.0
double,2027-02-28,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-12,1.0.0
twin,2027-02-28,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-12,1.0.0
double,2027-03-01,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-12,1.0.0
twin,2027-03-01,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-01-12,1.0.0
double,2027-03-05,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-03-05,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-03-06,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-03-06,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-03-07,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-03-07,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-03-09,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-23,1.0.0
twin,2027-03-09,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-23,1.0.0
double,2027-03-10,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-23,1.0.0
twin,2027-03-10,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-23,1.0.0
double,2027-03-11,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-23,1.0.0
twin,2027-03-11,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-23,1.0.0
double,2027-03-12,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-12-12,1.0.0
twin,2027-03-12,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-12-12,1.0.0
double,2027-03-13,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-12-12,1.0.0
twin,2027-03-13,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-12-12,1.0.0
double,2027-03-14,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-12-12,1.0.0
twin,2027-03-14,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-12-12,1.0.0
double,2027-03-15,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-12-12,1.0.0
twin,2027-03-15,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-12-12,1.0.0
double,2027-03-19,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-03-19,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-03-20,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-03-20,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-03-21,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-03-21,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-03-25,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-11-25,1.0.0
twin,2027-03-25,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2026-11-25,1.0.0
double,2027-03-26,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-11-25,1.0.0
twin,2027-03-26,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-11-25,1.0.0
double,2027-03-27,1360,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2026-11-25,1.0.0
twin,2027-03-27,1200,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2026-11-25,1.0.0
double,2027-03-28,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-11-25,1.0.0
twin,2027-03-28,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-11-25,1.0.0
double,2027-04-01,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-01,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-02,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-02,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-03,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-02-17,1.0.0
twin,2027-04-03,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2027-02-17,1.0.0
double,2027-04-04,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-17,1.0.0
twin,2027-04-04,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-17,1.0.0
double,2027-04-05,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-05,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-06,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-20,1.0.0
twin,2027-04-06,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,2027-02-20,1.0.0
double,2027-04-07,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-07,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-08,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-08,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-09,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-09,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-10,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-10,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-11,1360,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2026-11-12,1.0.0
twin,2027-04-11,1200,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2026-11-12,1.0.0
double,2027-04-12,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-11-12,1.0.0
twin,2027-04-12,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-11-12,1.0.0
double,2027-04-13,1360,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2026-11-12,1.0.0
twin,2027-04-13,1200,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2026-11-12,1.0.0
double,2027-04-14,1360,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2026-11-12,1.0.0
twin,2027-04-14,1200,Demand Calendar compression (PROJECTED),compression,1.6,PROJECTED,2026-11-12,1.0.0
double,2027-04-15,1148,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-11-12,1.0.0
twin,2027-04-15,1013,Demand Calendar peak (PROJECTED),peak,1.35,PROJECTED,2026-11-12,1.0.0
double,2027-04-16,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
twin,2027-04-16,862,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
double,2027-04-17,977,Demand Calendar high (PROJECTED),high,1.15,PROJECTED,,1.0.0
